CWPP Name (HIDE),CWPP Name (CLICK FOR PDF),Jurisdiction Level,County,State,Year Published,Update/Revision of Former CWPP,Prepared by Private Consultants,CWPP Boundary Area (Square Kilometers),Source of CWPP Boundary
Mariposa,<a href='https://drive.google.com/file/d/17GHj6gGwNV6tXTod3-K4Y6LVcCvyELWY/view?usp=drivesdk' target='_blank'>Mariposa</a>,County,Mariposa,CA,2021,1,1,3788.69,"US Census Bureau, 2018 Cartographic Boundary Files"
Santa Barbara,<a href='https://drive.google.com/file/d/1KzJGrzUd53OiI4iByh2Zw_nHy0KsiHx0/view?usp=drivesdk' target='_blank'>Santa Barbara</a>,Community,Santa Barbara,CA,2021,0,1,48.32,CWPP
Alta,<a href='https://drive.google.com/file/d/15BuIaGHRGI0n5pIwC6eHmKoWcPXV80n5/view?usp=drivesdk' target='_blank'>Alta</a>,Community,Salt Lake,UT,2020,0,0,20.51,CWPP
Aspen Hills,<a href='https://drive.google.com/file/d/1pWMkeKlzn0d3N7sy6gXsroe6t3h9jjoD/view?usp=drivesdk' target='_blank'>Aspen Hills</a>,Community,Sanpete,UT,2020,0,0,7.19,CWPP
Blackhawk Mountain Estates,<a href='https://drive.google.com/file/d/1m724nMb5qbv-eN-5i1crr0MlXCMJhahA/view?usp=drivesdk' target='_blank'>Blackhawk Mountain Estates</a>,Community,Sanpete,UT,2020,0,0,8.73,CWPP
Brighton - Big Cottonwood Canyon,<a href='https://drive.google.com/file/d/145FzMbeyJfsF2dlNpqO3bdt3dollX8qz/view?usp=drivesdk' target='_blank'>Brighton - Big Cottonwood Canyon </a>,Community,Salt Lake,UT,2020,0,0,2117.71,CWPP
Butte,<a href='https://drive.google.com/file/d/1k2dsXZCWmwCQOnrMmlA2yAERNl1Ih0FA/view?usp=drivesdk' target='_blank'>Butte </a>,County,Butte,CA,2020,1,0,5798,"US Census Bureau, 2018 Cartographic Boundary Files"
Cedar Fort - Fairfield,<a href='https://drive.google.com/file/d/15EpLd561niC6dAnm8UvXiA7HUes_oyNd/view?usp=drivesdk' target='_blank'>Cedar Fort - Fairfield</a>,Community,Utah,UT,2020,0,0,271.38,CWPP
Cedar Hills,<a href='https://drive.google.com/file/d/1wkfsHhrwHj1PxuGYotOrLIp8t6xVXUO3/view?usp=drivesdk' target='_blank'>Cedar Hills</a>,Community,Utah,UT,2020,0,0,7.04,CWPP
Deer Springs,<a href='https://drive.google.com/file/d/18jLY4y30XqenfzDybjPS1frJ93fPkVcI/view?usp=drivesdk' target='_blank'>Deer Springs </a>,Community,San Diego,CA,2020,1,0,773.37,CWPP
Del Norte,<a href='https://drive.google.com/file/d/1QpAc7ARwUEHn2gQxqgFoq4w2qnpg99u5/view?usp=drivesdk' target='_blank'>Del Norte</a>,County,Del Norte,CA,2020,1,1,3184.86,"US Census Bureau, 2018 Cartographic Boundary Files"
